Saccharum lactis
Saccharum officinale
Sal marinum
Salamandra maculata
Salicylicum acidum
Salix nigra
Salolum
Salvia officinalis
Salvia sclarea
Sambucus nigra
Sanguinaria
Sanguinarina nitrica
Sanguinarinum tartaricum
Sanguisorba officinalis
Sanguisuga
Sanicula aqua
Santalum album
Santoninum
Saponaria
Saponinum
Sarcolactic acid
Sarracenia purpurea
Sarsaparilla
Saururus cernuus
Saxonite
Scirrhinum
Scolopendra morsitans
Scopolamine hydrobromide
Scorpio
Scrophularia nodosa
Scutellaria lateriflora
Secale cornutum
Sedum acre
Sedum repens
Sedum telephium
Selaginella
Selenium
Sempervivum tectorum
Senecio aureus
Senecio jacobaea
Senega
Senna
Sepia
Serum anguillar ichthyotoxin
Shucks
Silica marina
Silicea
Silphion cyrenaicum
Silphium
Sinapis alba
Sinapis nigra
Sisyrinchium glaxoides
Skatol
Skookum chuck
Slag
Sodii bicarbonas
Solaninum aceticum
Solanum carolinense
Solanum lycopersicum
Solanum mammosum
Solanum oleraceum
Solanum pseudocapsicum
Solanum tuberosum
Solanum tuberosum aegrotans
Solidago virga
Spartium scoparium
Sphingurus martini
Spigelia
Spigelia marylandica
Spiraea ulmaria
Spiranthes
Spongia tosta
Squilla maritima
Stannum
Stannum iodatum
Staphisagria
Staphylococcinum
Stellaria media
Sterculia
Sticta
Stigmata maydis
Stillingia
Stovain
Stramonium
Streptococcinum
Strontia
Strontium bromatum
Strontium nitricum
Stropanthus hispidus
Stropanthus sarmentosus
Strychnia phosphorica
Strychninum
Strychninum arsenicosum
Strychninum et ferri citras
Strychninum nitricum
Succinicum acidum
Succinum
Sulfonal
Sulphur
Sulphur hydrogenisatum
Sulphur iodatum
Sulphuricum acidum
Sulphurosum acidum
Sumbul
Symphoricarpus racemosa
Symphytum
Syphilinum
Syzygium jambolanum
Tabacum
Tanacetum vulgare
Tannic acid
Taraxacum
Tarentula cubensis
Tarentula hispania
Tartaricum acidum
Taxus baccata
Tela araneae
Tellurium
Terebenum
Terebinthina
Tetradymitum
Teucrium marum
Teucrium scorodonia
Thallium
Thaspium aureum
Thea
Theridion
Thiosinaminum rhodallin
Thlaspi bursa pastoris
Thuja occidentalis
Thymol
Thymus gland extract
Thymus serpyllum
Thyroidinum
Tilia europa
Tinospora cordifolia
Titanium
Tongo
Torula cervisiae
Toxicophis pugnax
Trachinus draco
Tradescantia diuretica
Triatoma
Tribulus terrestris
Trichosanthes
Trifolium pratense
Trifolium repens
Trillium cernuum
Trillium pendulum
Trinitrotoluene
Trional
Triosteum perfoliatum
Triticum
Trombidum
Tuberculinum
Turnera
Tussilago farfara
Tussilago fragrans
Tussilago petasites
Typha latifolia
